code,name
514,"Data processing, internet publishing, and other information services"
337,Furniture and related products
3364OT,Other transportation equipment
485,Transit and ground passenger transportation
511,"Publishing industries, except internet (includes software)"
GFE,Federal government enterprises
441,Motor vehicle and parts dealers
322,Paper products
ag,"Agriculture, forestry, fishing, and hunting"
326,Plastics and rubber products
ma,Manufacturing
co,Construction
111CA,Farms
452,General merchandise stores
wh,Wholesale trade
481,Air transportation
493,Warehousing and storage
483,Water transportation
513,Broadcasting and telecommunications
523,"Securities, commodity contracts, and investments"
562,Waste management and remediation services
61,Educational services
GFGD,Federal general government (defense)
ed,"Educational services, health care, and social assistance"
445,Food and beverage stores
5415,Computer systems design and related services
713,"Amusements, gambling, and recreation industries"
211,Oil and gas extraction
335,"Electrical equipment, appliances, and components"
323,Printing and related support activities
486,Pipeline transportation
321,Wood products
484,Truck transportation
in,Information
315AL,Apparel and leather and allied products
4A0,Other retail
213,Support activities for mining
722,Food services and drinking places
521CI,"Federal Reserve banks, credit intermediation, and related activities"
212,"Mining, except oil and gas"
721,Accommodation
GSLG,State and local general government
621,Ambulatory health care services
re,Retail trade
324,Petroleum and coal products
339,Miscellaneous manufacturing
334,Computer and electronic products
331,Primary metals
332,Fabricated metal products
ot,"Other services, except government"
512,Motion picture and sound recording industries
mi,Mining
313TT,Textile mills and textile product mills
524,Insurance carriers and related activities
532RL,Rental and leasing services and lessors of intangible assets
go,Government
ORE,Other real estate
pr,Professional and business services
ar,"Arts, entertainment, recreation, accommodation, and food services"
5412OP,"Miscellaneous professional, scientific, and technical services"
fi,"Finance, insurance, real estate, rental, and leasing"
525,"Funds, trusts, and other financial vehicles"
55,Management of companies and enterprises
tr,Transportation and warehousing
GFGN,Federal general government (nondefense)
333,Machinery
5411,Legal services
711AS,"Performing arts, spectator sports, museums, and related activities"
487OS,Other transportation and support activities
561,Administrative and support services
HS,Housing
GSLE,State and local government enterprises
311FT,Food and beverage and tobacco products
325,Chemical products
113FF,"Forestry, fishing, and related activities"
482,Rail transportation
327,Nonmetallic mineral products
623,Nursing and residential care facilities
622,Hospitals
ut,Utilities
624,Social assistance
3361MV,"Motor vehicles, bodies and trailers, and parts"
